jobname,execution,timestamp,cpu,os,method,size,mean,error,stddev,median,unit
orleans-messaging,orleans-messaging-749ft,2024-04-15T14:05:04.227282Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,10000,181022.0,12791.4,35016.2,184169.0
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183435Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,100,927.3,129.8,357.5,787.7
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183453Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,200,1537.0,148.1,403.0,1372.6
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183508Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,500,4225.9,309.6,837.1,3929.9
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183516Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,1000,12886.0,2535.0,7232.4,8600.9
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183563Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,2000,29343.0,5496.8,15859.5,18683.3
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183617Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,5000,57199.1,6988.8,19249.2,49909.1
orleans-contract-net-protocol,orleans-contract-net-protocol-ftznp,2024-04-15T14:06:07.183660Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,10000,163989.6,37426.2,107983.0,107326.2
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435439Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,100,947.0,147.5,425.7,730.9
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435450Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,200,1418.5,127.0,349.7,1345.3
